URL,Event Title,Event Date
https://www.newtown-ct.gov/parks-recreation/events/263396,STEM + POKEMON W/LEGO MATERIALS PROGRAM STARTS,
https://www.newtown-ct.gov/parks-recreation/events/263401,SCIENCE HACKS & TRICKS LAB PROGRAM STARTS,
https://www.newtown-ct.gov/parks-recreation/events/263406,"MULTI SPORT CAMP: CAPTURE THE FLAG, KICKBALL, FLAG FOOTBALL & ULTIMATE FRISBEE STARTS",
https://www.newtown-ct.gov/parks-recreation/events/263411,"SKYHAWKS MINI-HAWK: BASEBALL, BASKETBALL & SOCCER STARTS",
https://www.newtown-ct.gov/parks-recreation/events/263416,"SKYHAWKS MULTI-SPORT: SOCCER, BASEBALL, BASKETBALL, FLAG FOOTBALL STARTS",
https://www.newtown-ct.gov/parks-recreation/events/263421,STEM AND PLAY FLAG FOOTBALL CAMP STARTS,
https://www.newtown-ct.gov/parks-recreation/events/263426,SAND VOLLEYBALL CAMP BY SKYHAWKS STARTS,
https://www.newtown-ct.gov/parks-recreation/events/263431,SKYHAWKS BASKETBALL CAMP STARTS,
https://www.newtown-ct.gov/parks-recreation/events/263436,SKYHAWKS BEGINNER’S GOLF CAMP STARTS,
https://www.newtown-ct.gov/parks-recreation/events/263441,Summer Youth Tennis Camps Start,
https://www.newtown-ct.gov/parks-recreation/events/263446,PARENT & ME SOCCER SQUIRTS STARTS,
https://www.newtown-ct.gov/parks-recreation/events/263451,SQUIRTS SOCCER STARTS,
https://www.newtown-ct.gov/parks-recreation/events/263456,SENIOR SOCCER SQUIRTS STARTS,
https://www.newtown-ct.gov/parks-recreation/events/263461,T-BALL SQUIRTS STARTS,
https://www.newtown-ct.gov/parks-recreation/events/263466,T-BALL: PARENT & ME SQUIRTS PROGRAM STARTS,
https://www.newtown-ct.gov/parks-recreation/events/263471,SQUIRTS MULTI SPORTS STARTS,
https://www.newtown-ct.gov/parks-recreation/events/263476,SENIOR SQUIRTS MULTI SPORT STARTS,
https://www.newtown-ct.gov/parks-recreation/events/263481,PARENT & ME MULTI SPORTS STARTS,
https://www.newtown-ct.gov/parks-recreation/events/263486,FIELD HOCKEY CAMP STARTS,
https://www.newtown-ct.gov/parks-recreation/events/263491,NIGHTHAWKS BASEBALL ELITE SUMMER CAMP STARTS,
https://www.newtown-ct.gov/parks-recreation/events/263496,NEWTOWN SOFTBALL 10U & 12U STARTS,
https://www.newtown-ct.gov/parks-recreation/events/263501,NEWTOWN SOFTBALL 8U STARTS,
https://www.newtown-ct.gov/parks-recreation/events/263506,NIGHTHAWK BOYS BASKETBALL CAMP STARTS,
https://www.newtown-ct.gov/parks-recreation/events/263511,MURPHY BASKETBALL CAMP STARTS,
https://www.newtown-ct.gov/parks-recreation/events/263516,SLAMMA JAMMA BASKETBALL CAMP STARTS,
